	exp_000	exp_001	exp_002	exp_003	exp_004	exp_005	exp_006	exp_007	exp_008	exp_009	exp_010	exp_011	exp_012	exp_013	exp_014	exp_015	exp_016	exp_017	exp_018	exp_019	exp_020	exp_021	exp_022	exp_023	exp_024	exp_025	exp_026	exp_027	exp_028	exp_029	exp_030	exp_031	exp_032	exp_033	exp_034	exp_035	exp_036	exp_037	exp_038	exp_039	exp_040	exp_041	exp_042	exp_043	exp_044	exp_045	exp_046	exp_047	exp_048	exp_049
b0011	6.9971603023274245	9.259968930813248	6.465823364759374	5.406197993181663	7.130063245459862	8.30047522125016	5.754228901841432	9.26686459322766	4.3181911867580896	8.479117166731694	8.81783069896427	8.260456110008402	8.050891215785779	11.262174129122634	7.2635246312295445	4.40263832952458	8.6323890267501	11.650032854405076	9.273895438315167	10.61021976661789	7.108508261699306	7.359395053882919	6.452574664710574	9.021753764299659	7.716958987345546	7.7496504142447336	9.894319017075672	5.241544939792913	11.785303629734717	5.33058676823058	4.680432404625355	4.823742338238763	8.322354013106189	9.09170687388193	7.473284898480657	10.299370180684921	5.221658285327352	7.345423294138802	4.785044411218454	7.770916200122634	8.898966515974516	10.698926043358666	6.700843136492338	6.209672597603687	10.129541819202204	8.588184891097246	9.300864261395484	9.814498814665642	5.544827783908362	5.873304421507974
b0012	10.991627093679917	9.228987684122258	9.405131185423304	9.412290840432284	6.028599143759409	7.9618325830197385	6.263841749860563	9.144698787555809	7.828950121320531	7.740860176439464	11.361449940981002	8.398631261632366	8.27628373215908	6.619255745287152	8.759691116814224	6.391776945037459	4.923024538932937	10.647945269702397	9.186822522757844	9.840373496660364	4.781292424013138	7.341784731075735	8.93257677368089	8.005826440487285	7.43632979324896	9.276685629498383	5.036148195607843	6.466095145235878	9.943049905200684	5.182855392764536	7.173546213009036	7.2971875087449005	2.9364334402209664	8.426431809210799	1.6990017554824255	10.32113259368791	8.078216691739083	5.136097411067544	7.723095701440934	6.147575375704942	8.809018598355475	9.413133155655736	9.974061453807847	9.068356725699969	8.571134584629272	8.321576278511095	6.225925640174933	8.817045248251029	7.476400830349376	6.008626929058846
b0013	8.495323114088148	5.8046836035281375	5.641639024589431	8.219279907927987	8.21221120528857	12.629279839406902	5.225307501651473	6.790581103741433	8.289748752611438	10.466097962135404	6.974727202513669	6.302066917910615	9.068668509007221	7.349315105584048	11.854117744118339	9.156870022951923	7.64273924325718	6.911254769406159	6.111269474366416	8.131583184635327	9.413987137896672	8.633600323246622	7.206182367080606	7.062913157691833	4.424002176594858	6.819907427665847	6.220553170443114	10.463736349760604	5.116423904904554	7.751144683665156	10.331073814775424	4.790309433197809	0.9103261007690531	6.248877285312422	8.23433828886538	4.994988885653308	10.474437147727294	7.183088515852841	7.74447221521119	6.835100171148979	6.220561760728231	6.828316201565052	8.484235306111366	9.480129489113748	10.749911739189525	10.83412799476713	8.994175788552738	8.856112456326185	7.265837772798911	9.727114584430236
b0014	6.213064791068291	8.09402809533031	8.132970046097018	10.583192908527455	7.65652570776463	8.135064256479929	8.355442123568064	7.317769526167321	6.796260900182529	9.948216987270579	6.528623835559554	6.00812289246909	9.020398068943221	9.736722263036015	7.322885513599042	7.345919768525181	8.42381528916019	6.938220984885225	6.8274312190820465	9.319388881979549	8.910696651175428	9.966738329477158	6.1211164814517565	7.246306269634075	8.42176934340418	6.611568725338451	8.962531155731975	9.836940630839498	7.124963041658978	8.057887910340549	10.183428035121675	10.6989073625285	9.118701876590606	8.890143759790414	6.7193951979726325	8.53881410068676	8.835231261162498	7.6844447621584315	7.107835618166506	6.078053489784717	5.393405367423061	5.078174730018255	8.869163859300892	8.221548987840166	7.274283302688355	7.502815553413042	8.315705812295727	7.753155393487109	5.989170229994258	9.36950033041145
b0015	9.585671354707713	9.665336982811937	9.95038039116903	4.711588060578604	11.576941640026948	8.4845504699149	7.629807535523022	10.858595816225028	2.4875352250767553	7.990448474713073	9.916918542238337	8.44515809076706	7.101829585843935	7.606429766290744	10.281274943362707	5.978028898818115	8.782079183121512	7.080305313057282	10.42928641615667	7.9075968132163155	11.237704054513951	10.13903722236672	5.451668823848557	8.948050318983789	12.67438577175596	9.766891546791511	7.604478964912753	4.920359491227597	9.335840393646757	9.028751491863826	5.038213042504925	5.772825057998558	9.33384373869294	7.824334544291945	9.05351732365078	8.392046020021992	5.5046418328505595	5.964036015443957	6.4991681729588615	9.278738269463735	7.9380343967180735	6.497889806680552	8.80382714444021	10.498478559009754	10.616779885474525	7.412592770267504	9.015997461586462	7.90510772840311	4.649783262744302	5.149085063185557
b0016	10.360268555396594	8.356362373413816	3.923800745270677	13.123649035810665	10.530093450660743	5.824325668314242	6.78331627890722	6.361793981316804	7.792573313687258	5.708185089257533	12.377802787489664	3.9742852506959645	8.72816279287701	7.659788594080901	11.610070023355966	9.715358382824917	11.59562725667757	8.44498236993969	9.200967255036202	10.052038570514592	7.35145334964472	10.174801158312142	8.86937184776048	8.41882906519085	8.50314924004817	9.685672821653037	5.049668080492255	10.037442208425915	6.756915204755041	9.270004442828348	4.956143274047787	8.643639483351683	4.756177576896508	5.271678410448653	8.15365342321265	10.970564023465004	13.599592686141023	6.598101056154111	6.265968136262073	7.527668403674896	10.008149617888103	7.136621651124868	9.663719985246816	5.1312293666584265	7.124221350281321	8.26310687853467	6.21370919262323	6.694044781359686	5.129275443423401	8.245149852673576
b0017	8.824920462146517	7.422499324154377	10.79619929889714	5.411690001383029	6.839407986501817	8.218693217528179	4.185908232201287	10.644784125947488	1.4527692772315093	5.480812858461605	7.311211172546145	6.395650704554291	2.7035543606798336	4.843288810871861	15.688862986214238	6.787695767307262	6.812155410724174	7.316816662266568	11.051002713124122	5.926619527762309	8.008230542619238	9.325925681574427	5.145372312921873	6.85977475022544	10.84207174215435	6.493794336270738	6.383707024762476	5.552336580897484	9.45324514528896	13.809495230774978	5.340771831947767	4.744043758554781	5.4924495514139515	6.763133593420297	5.957166701791357	7.51173181564493	6.164727778013751	6.617052326627685	5.375024043065679	8.680839420534008	5.376096922451578	9.24827354672934	12.030364455633183	8.459797900525992	11.779179188960983	10.846349925561267	8.63668637523733	14.590771058195818	7.040516259462205	9.496672313788268
b0018	7.187133143717173	7.763091102270585	7.135825176768373	5.708790725659895	8.059136533105503	5.507581008106917	9.191541181445343	14.540596523078255	5.691837492407153	8.483905095324115	6.940272742715058	11.358986871335668	7.919160630698958	6.683484986157293	7.943904050270288	9.99096306570367	4.668672029284906	10.372488891121506	9.843607288577747	8.023058067891947	6.798422295640605	8.354313273773002	7.510964372218741	5.932671420372115	8.475615548743086	6.210761765012103	10.013166423762115	9.831257901082703	8.21605076606241	7.56598326798815	9.963856331442338	7.72388467679292	6.00697398278364	8.871108584987136	8.536145901450766	8.147008297011444	7.214809468265015	7.1715102630571925	9.572981531315284	6.108852753613761	6.724166964447237	10.157337668249053	7.266657364034439	9.208157819879155	8.877104759102465	7.446107716569324	10.484980972965234	7.266039456774786	5.198615462274852	9.028978734832062
b0019	9.268992684330184	11.922203851706117	10.850772722352193	6.833994601736068	10.136795728520719	7.949047259939233	4.124390810563939	9.158506058811843	6.473372670666436	8.82619873254907	8.633760150630415	8.518123061557331	7.909889563989277	7.8918691949574145	8.95678272026549	5.161626742209345	8.932326185365879	10.214142669714409	9.660437807003445	5.609394338300279	6.41547929296149	8.544402449219954	8.38452021817184	8.55131786136982	10.224298460841748	8.64017513809917	8.062649722089098	5.371077249968188	11.643376778809833	10.821618002592832	4.463209374189517	5.193627722716546	7.979357828989681	7.608037833851706	9.378483059345337	7.864321962061219	4.354189433994453	8.41113721958632	4.937387715069618	7.572383600488003	10.224141279929372	9.121920852655338	7.719865565854777	6.270206937138207	11.485408154496064	10.042108140272315	9.130728585728262	6.750864878438438	5.795905133129125	8.724640138924482
b0020	8.027384100541065	7.486272673680847	7.592983131638943	3.9602789994751046	7.053388159401012	5.145684827925882	6.921205794379382	9.895996523081756	4.643115788212139	8.860507178233865	10.028288226215036	9.713092205471492	9.29422176380001	6.049309953896535	9.728250612698433	6.711067573889976	11.026447400183333	6.58287832873703	7.16579007546297	6.824844029213789	7.219970493551564	7.959258619497666	6.966408941728947	10.659856358128494	4.389590807536361	9.429040038393294	9.877092906080456	5.965315776702648	11.325055610627288	9.076610846676797	3.688068195459759	8.363339374512712	9.596081300425643	9.759923321463635	5.211539141201323	9.593534680930055	3.7978876439764138	6.9462174704215	6.893033578726649	8.9472362372723	9.598476639014454	8.424528763205968	9.21513933018707	6.554891503224299	9.319906385023017	9.458170406273242	6.636008290298738	10.34108883960831	7.034695934913977	8.152999039051679
b0021	10.384080984564498	8.966654272501142	9.657489632240162	10.964900519896267	5.98664820107507	5.294170932888403	7.456677427071592	6.6283918800618915	4.668162365959905	6.5752056091113396	7.707058018699364	8.881656057248955	11.678849076772973	6.296312504988844	6.850194725672685	7.2882645965250505	6.941994399373108	6.466729587152283	10.020936750619866	8.145305246937037	5.90008882333302	8.17358126359516	5.135064243167417	9.877220935462267	8.321869455993301	10.79129151868677	7.916993874317386	9.115747912089875	9.93918626910144	14.30295896526368	3.0093013590541124	6.458946265881597	7.342337100682378	6.781333039464126	8.837180252268551	10.269018362837128	14.76307590375123	5.049611505713644	7.976724520859807	11.396248580946754	6.722624896274226	11.365788230652766	6.516295336536431	8.769278881234527	9.552889733290398	3.7807116918793966	8.693165718654122	7.750418827318914	8.502554805252133	7.512848063267185
b0022	12.13223055962275	9.433642887482021	7.203963891075821	8.947844206780507	6.445697125314299	4.657411183891104	7.075846488430219	4.409487100885214	8.755620723442977	5.2785166384277975	7.706173047208579	7.020629166371911	8.43794421072812	8.44967101367079	10.139598494618857	6.729892331406287	9.254743227196773	12.723958172899243	8.98669478259021	8.716176465428289	6.368750245412003	9.001947054251666	8.787730731932081	8.835438066890466	5.381847257253495	5.324082571090059	7.999155018567998	8.582389243468835	6.07845567635732	6.528002875657469	5.622076398228025	4.411371944193453	7.393398053104816	8.35206785268503	8.939077091403782	11.423817486741358	8.751156420008078	6.666287332090126	7.811929781641811	6.623448286729883	9.696752894379552	7.073808312400089	7.470019766354048	3.1132204052974966	6.136503552203429	8.405504275164652	10.52438226886257	7.010019789825237	9.002331807261253	7.16687225950557
b0023	11.17192667687419	10.140156634678705	10.722329032955198	4.827950960212019	8.68669992145098	10.044072111968893	7.65113309107512	9.292765216084899	6.181708452516287	6.669618973784425	5.266500279896263	7.093331243088659	11.599743520217224	7.009746990755382	6.081821708138154	7.910099017104568	9.132967304199902	11.065326291383844	10.406869170043349	9.753402133314742	11.142800654933504	7.532861041560377	7.311258497041765	7.657030989914794	8.481839783911225	10.280354108284106	9.51291311205923	5.651229423870071	6.568737000071989	7.861657149518539	4.449005195004067	9.936978327681258	10.186759922479164	9.256476551995181	5.938325461325153	10.632099588889474	6.824319700224526	7.012440092857794	4.93518269670778	6.995305123203172	7.601410282589128	7.966903569911717	6.741909419249594	10.820007529643192	9.821787337187004	7.280465156377992	10.43994237666719	7.624798043462896	4.028075432652614	8.89979063686206
b0024	10.837081774325508	7.306855972022903	7.931044988124282	6.280002928218645	8.00823882536509	7.286442104403204	7.846807339947501	8.613887581395863	6.3527817829537305	7.457282991151149	5.294327867332733	7.467519073830068	7.859848893624501	8.343473637591616	8.359364810544813	9.355884126105284	5.69050022109002	5.770584455074559	8.79343690458878	4.941558084491876	8.27495031815749	6.22956059061516	10.359221961375772	8.375678611591667	7.671265970430407	9.841581315708767	6.404896990143573	6.689885548868287	6.107817749517336	6.702441160476511	8.091673414051082	8.74092780799058	9.442132528051314	5.262913929648891	7.742205520305062	6.337753203213797	7.692069362767849	11.50124537019056	8.437792643000023	9.349197456722369	10.94103690824157	9.691037364762137	7.328128280469524	6.086251870145093	7.954783595718723	7.148441323671972	5.713218070071239	8.361387495934203	8.398829447089	10.653675050394929
b0025	6.60618480423948	9.08992822770447	6.41773671659947	8.78116663308998	6.560198091273415	6.641465595830573	9.070267610000291	8.98818078737359	8.296531605199242	9.864512312592227	7.236170505385139	4.564156401401398	9.329919252134381	6.917350968896351	9.206415350429562	3.686934781016421	12.935997067402164	7.344587997294973	9.128442089069864	6.8978988435527535	9.847444828137167	10.277458409865295	10.269042220114544	6.15135090041769	7.272903812935351	9.381292293849029	11.574051901437388	7.376225885515652	11.205826894236699	7.821182883160848	7.825521437520607	10.473790998666185	7.375338420796275	7.445835103259893	10.285251057710571	7.046014463165448	6.484179901571897	5.388344926656728	7.770136192343886	10.355352554039182	7.092373975118301	8.517900531131762	7.187160259829502	7.23096852849846	10.36503491854997	11.341415677323765	9.357030037126814	10.60487544027962	6.536263039984611	7.595614464457165
b0026	7.979141076145856	8.970939190431608	4.23994562449988	7.026711466693145	8.444383904761594	7.059810116737393	7.44489160368371	8.210126341948783	8.444427725107689	7.9885521122814405	9.938523619649658	8.805213371875785	9.284228030047615	7.409467820213489	8.868587144900564	6.651837579773138	7.798174747893684	7.038419272578783	5.970107071641315	8.545415117674823	6.346687746719273	5.643301543872894	7.867412625473727	9.02136818282742	9.85968001966205	8.080368432540979	6.809764598868751	5.861118463858549	10.54286158744935	5.254707417541143	4.744050819082574	9.112840214712872	5.028207442906601	8.776718201164067	8.452354191421275	11.896194079662054	9.307182750638077	6.40576361825869	8.117195897306253	6.615322021078933	7.776295266521517	9.311411207393114	9.714056538316814	7.660342394318489	8.059911518235293	8.941630947174207	7.619399467242183	9.167102129798685	6.962609589684786	9.213072582571096
b0027	5.249988253240351	7.95787420161053	8.502858030604923	6.578761797539339	7.06071495166765	8.023068472058158	9.432644569162214	6.4506961571194195	6.712325089437972	9.688381656560516	7.590536900120247	6.833691440232534	9.093027195825373	7.26770450415163	9.54113230300816	7.004419434530432	7.7606081572625065	9.417457498083097	7.660608693239372	9.134079983117969	7.901678589828492	10.972537709600044	10.353167906154273	6.007855606349378	8.783365521872014	6.775394020848437	8.287260408189097	8.102555943965392	6.4169194743612685	9.587726815295486	8.304954415353611	7.5729754464911245	7.3428352636346075	8.209665454649354	8.611887526271428	7.812536320462601	3.751220643835687	8.025336074363725	5.837776907585334	7.685821151526387	5.893153614395537	5.875253547380799	9.852682732922792	7.519862028583415	7.405006760267123	8.723786073242888	7.4441142153913225	11.155709138191115	7.590470358910971	8.547688117974516
b0028	9.062522530463356	10.411429347153309	6.8013561946163135	6.147580619728862	8.674350197571354	9.601606161180122	10.844377431882428	6.29468852728685	11.229392821055896	5.898177149429725	8.527367655224726	6.786705761930564	7.565976498144928	5.620814307955893	6.3562936145194415	7.042304190261103	7.391883338751824	6.688420151492888	8.053788486656167	2.9048393438912985	9.685073111660518	4.514177776277331	9.39950138059749	5.559553978321322	9.454155774525528	8.54155518777869	10.351312063358762	8.823987095493237	9.055285955586491	7.043151118691011	6.47863284384229	12.445534158160019	7.496781502971971	8.91647241015767	9.461963586341222	6.390179795288001	4.407591406827586	6.451832697969671	10.79463860541309	8.104530241952737	6.028674179639635	8.2980296192066	3.886618603691556	5.756916771018412	8.62579324257738	9.50549573544244	8.234480184313654	7.675082600170241	10.256975359653804	7.3105155718433865
b0029	6.957434509775391	7.938245784631175	8.805636249591716	8.077439565066811	7.69140861375804	7.02497499699432	7.006803731798602	7.103287420271961	8.508221901216105	6.5087298613973195	8.589903835205332	10.119492133440245	8.4885610367198	7.445621706624294	6.0528096724180545	10.36716021186727	6.244973524101631	9.272843051713622	8.957776790891728	7.644847095553911	7.605531794328983	5.246433088938469	8.495097501218932	8.929889498593708	6.366379825778293	7.766267788506346	8.056792872513425	8.876858941924352	8.005704614184781	5.560520969057624	7.205093345806266	8.336938678083529	9.262292513059638	7.07354508590863	11.28147481182503	5.158290396744553	7.154449737413149	7.87544959476084	7.6988762546707035	6.151786505277751	8.671792621627691	8.556641076970884	8.07194216897232	8.497765794887773	7.364335382827954	5.573955574837148	6.925040194921633	8.235581872114162	8.244116622269594	8.062068578878772
b0030	7.262428756316707	9.298333713543343	7.976070354210544	11.8899567921614	4.885997874624937	5.269869748686521	7.636899605324246	9.052669367724445	10.878605904752343	8.602480938398053	10.060942822576118	6.359841297707103	8.463495202236235	9.9666726304157	9.308910952569748	7.5149345333547775	8.050237035814819	5.2283078604493145	6.893912018079058	6.761261800326704	7.054140665213517	8.886280765488012	5.492659293528995	7.392428922559853	8.19773328563658	7.387422210603102	8.277595258391433	7.571156627903076	7.981378008514667	4.996531278083702	4.002941466762662	5.256427303220734	7.456817813450785	8.28947829163189	7.853761536580628	10.659225314374192	9.630514794488505	6.164625360037007	7.065555173168516	6.325857298471291	10.851665728040604	7.577787985864941	7.560152533796021	6.77244251429798	6.3935101623222055	9.002644432862185	8.439227792234869	8.186997694815659	5.185765844383222	10.33108472694867
b0031	9.67885970661857	11.106601142176311	6.94832246541799	7.523014100042709	7.55952655265747	5.195256811817594	9.54739801959435	9.59899155873491	5.728173376169976	1.698216572447238	7.213101305819548	5.689588871614073	7.978435943769561	6.736984498808507	9.466241983031392	10.715131891858578	5.49369136649165	8.112284069509945	10.848389078375115	9.028330628648847	7.279576509426074	9.322723419933276	7.809993056918526	7.353453947077215	8.28538369729892	6.8378874479151595	10.675574717807491	10.628737484426534	8.715087461642081	5.529054818665187	7.890680450972365	5.44011932033592	6.157996413226532	7.114886120789149	6.924777514204603	5.958896610716488	8.993147499424111	8.340104330098672	10.201623290671893	10.085358803453765	4.06654669416588	7.388197233693607	11.492709027141206	9.95224745374598	6.36651112679069	4.903156788825195	10.086431327659279	5.251244426996251	5.809219183919035	9.680152280969809
b0032	10.223183679765594	10.966103629384932	9.389014362193228	7.670946518237778	8.994290968458952	8.692602708777049	4.409244430163483	10.982762535571574	5.795469254890318	7.68528714370384	9.551590149846497	7.99466904212868	4.065786791365043	7.662564324525667	10.540575236125395	6.933854166415871	7.132011642381663	8.22657762699303	12.596053032775393	11.113072940356421	5.6992337915511	9.084290810476686	7.3732573056417	9.96822784277162	7.490809947086032	5.278675792369083	9.246793231957227	5.3827466550105925	12.681408080099157	8.076367832829902	0.30920679768178605	5.539428794102845	4.935907980481728	8.589735405607811	6.6523541307224345	12.729452134322024	6.0906147174385294	7.270996108858987	5.40778141416721	7.330746383978976	10.195822138966943	11.014926418980133	12.0442104889433	8.697273733774976	11.343768388658834	9.590006230434275	9.034729083878048	12.092567566642105	3.235229128051287	7.769653461982635
b0033	4.235886947575678	7.986850170610774	8.703521155780104	5.231724606017934	9.320031279990985	11.639605404768513	8.922683386861213	12.07755377108511	5.471966864833949	6.06704895354709	9.418535154308294	5.162483759493255	10.443388966195275	6.316000097145006	12.5473603992227	2.904573569012336	9.27807735187708	9.551079802388548	8.013302866263466	8.46609766374535	13.271980586090336	7.5480677883376455	11.594166562305338	7.6345134405529205	6.2281361586447	10.289639145515347	11.00794283943201	7.493007500205248	6.642966694110596	8.924887415299093	5.83153946274971	9.497341573814932	4.337664113697073	8.987171109145631	5.270558856135898	7.572878097972377	0.6895959697139631	7.799354559739967	7.751089361678658	7.495687438119174	8.709988987457283	10.84451090321354	6.782665664220893	3.205303792287493	8.302810794255285	8.682571551981109	5.977841996990028	9.674531614189837	8.643144035731845	5.6843996801198
