## Network Regulatory Interactions in Escherichia coli K-12 substr. MG1655
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) RegulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Gene ID regulated by the Regulator
## (5) regulatedName. Gene regulated by the Regulator
## (6) function. Regulatory Function (+/-/+-/?)
## (7) confidenceLevel. Evidence level (C/S/W/?)
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00095	gene95	+-	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00041	gene41	+	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00017	gene17	+-	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00049	gene49	+-	S
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00057	gene57	+	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00056	gene56	+-	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00032	gene32	-	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00023	gene23	+-	W
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00065	gene65	-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00013	gene13	-	W
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00058	gene58	-	W
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00086	gene86	+-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00037	gene37	+	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00017	gene17	-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00041	gene41	-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00066	gene66	+	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00096	gene96	+-	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00087	gene87	+	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00008	gene8	+	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00033	gene33	+	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00088	gene88	+	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00028	gene28	+-	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00067	gene67	+-	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00072	gene72	+	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00025	gene25	-	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00095	gene95	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00078	gene78	+-	S
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00073	gene73	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00082	gene82	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00092	gene92	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00022	gene22	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00084	gene84	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00057	gene57	+	S
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00094	gene94	+-	S
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00034	gene34	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00080	gene80	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00033	gene33	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00089	gene89	+	S
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00016	gene16	+-	W
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00041	gene41	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00097	gene97	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00062	gene62	-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00016	gene16	-	W
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00071	gene71	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00017	gene17	-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00076	gene76	-	W
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00021	gene21	+-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00063	gene63	+-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00045	gene45	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00044	gene44	+-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00058	gene58	+	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00095	gene95	+	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00067	gene67	-	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00083	gene83	+-	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00038	gene38	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00063	gene63	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00012	gene12	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00053	gene53	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00097	gene97	+-	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00021	gene21	-	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00032	gene32	+-	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00030	gene30	+	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00040	gene40	+-	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00034	gene34	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00010	gene10	-	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00059	gene59	-	S
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00040	gene40	-	S
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00055	gene55	+	W
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00043	gene43	-	S
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00033	gene33	+-	W
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00092	gene92	+	S
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00082	gene82	+	W
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00057	gene57	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00056	gene56	-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00091	gene91	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00059	gene59	-	W
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00067	gene67	-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00051	gene51	+-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00052	gene52	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00031	gene31	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00017	gene17	-	W
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00062	gene62	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00060	gene60	-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00064	gene64	+-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00018	gene18	+	W
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00061	gene61	-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00007	gene7	-	S
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00045	gene45	-	S
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00026	gene26	-	W
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00048	gene48	+-	S
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00085	gene85	+	S
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00069	gene69	+-	W
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00042	gene42	-	W
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00076	gene76	-	S
