## Network Regulatory Interactions in Escherichia coli K-12 substr. MG1655
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) RegulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Gene ID regulated by the Regulator
## (5) regulatedName. Gene regulated by the Regulator
## (6) function. Regulatory Function (+/-/+-/?)
## (7) confidenceLevel. Evidence level (C/S/W/?)
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00057	gene57	+	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00056	gene56	+-	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00032	gene32	-	W
RDBECOLICNC00001	tf2	gene2	RDBECOLIGNC00023	gene23	+-	W
FAKE_tf2	tf2	tf2	FAKE_gene48	gene48	+	W
FAKE_gene71	gene71	gene71	FAKE_gene11	gene11	+	W
FAKE_gene19	gene19	gene19	FAKE_gene31	gene31	+	W
FAKE_gene19	gene19	gene19	FAKE_gene82	gene82	+	W
FAKE_gene95	gene95	gene95	FAKE_gene91	gene91	+	W
FAKE_gene17	gene17	gene17	FAKE_gene10	gene10	+	W
FAKE_gene57	gene57	gene57	FAKE_tf7	tf7	+	W
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00065	gene65	-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00013	gene13	-	W
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00058	gene58	-	W
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00086	gene86	+-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00037	gene37	+	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00017	gene17	-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00041	gene41	-	S
RDBECOLICNC00002	tf3	gene3	RDBECOLIGNC00066	gene66	+	S
FAKE_gene58	gene58	gene58	FAKE_gene37	gene37	+	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00087	gene87	+	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00033	gene33	+	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00088	gene88	+	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00028	gene28	+-	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00067	gene67	+-	S
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00072	gene72	+	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00025	gene25	-	W
RDBECOLICNC00003	tf4	gene4	RDBECOLIGNC00095	gene95	-	W
FAKE_gene67	gene67	gene67	FAKE_gene86	gene86	+	W
FAKE_gene67	gene67	gene67	FAKE_tf10	tf10	+	W
FAKE_gene25	gene25	gene25	FAKE_gene49	gene49	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00078	gene78	+-	S
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00073	gene73	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00082	gene82	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00092	gene92	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00022	gene22	+	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00084	gene84	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00057	gene57	+	S
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00094	gene94	+-	S
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00034	gene34	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00080	gene80	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00033	gene33	-	W
RDBECOLICNC00004	tf5	gene5	RDBECOLIGNC00089	gene89	+	S
FAKE_gene92	gene92	gene92	FAKE_tf5	tf5	+	W
FAKE_gene92	gene92	gene92	FAKE_gene44	gene44	+	W
FAKE_gene16	gene16	gene16	FAKE_gene12	gene12	+	W
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00041	gene41	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00097	gene97	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00062	gene62	-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00016	gene16	-	W
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00071	gene71	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00017	gene17	-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00076	gene76	-	W
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00021	gene21	+-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00063	gene63	+-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00045	gene45	+	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00044	gene44	+-	S
RDBECOLICNC00005	tf6	gene6	RDBECOLIGNC00058	gene58	+	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00095	gene95	+	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00067	gene67	-	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00083	gene83	+-	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00038	gene38	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00063	gene63	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00012	gene12	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00053	gene53	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00097	gene97	+-	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00021	gene21	-	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00030	gene30	+	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00040	gene40	+-	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00034	gene34	+	S
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00010	gene10	-	W
RDBECOLICNC00006	tf7	gene7	RDBECOLIGNC00059	gene59	-	S
FAKE_gene40	gene40	gene40	FAKE_gene87	gene87	+	W
FAKE_gene40	gene40	gene40	FAKE_gene15	gene15	+	W
FAKE_gene59	gene59	gene59	FAKE_gene92	gene92	+	W
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00040	gene40	-	S
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00055	gene55	+	W
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00043	gene43	-	S
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00033	gene33	+-	W
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00092	gene92	+	S
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00082	gene82	+	W
RDBECOLICNC00007	tf8	gene8	RDBECOLIGNC00057	gene57	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00056	gene56	-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00051	gene51	+-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00052	gene52	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00062	gene62	+	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00060	gene60	-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00064	gene64	+-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00061	gene61	-	S
RDBECOLICNC00008	tf9	gene9	RDBECOLIGNC00007	gene7	-	S
FAKE_gene52	gene52	gene52	FAKE_gene41	gene41	+	W
FAKE_gene61	gene61	gene61	FAKE_tf2	tf2	+	W
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00045	gene45	-	S
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00026	gene26	-	W
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00048	gene48	+-	S
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00085	gene85	+	S
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00042	gene42	-	W
RDBECOLICNC00009	tf10	gene10	RDBECOLIGNC00076	gene76	-	S
